[10:16:40] [INFO] received Windows console close event; shutting log-core down
[10:30:39] [INFO] received Windows console close event; shutting log-core down
[08:55:00] [INFO] received Windows console close event; shutting log-core down
[14:55:54] [INFO] received Windows console close event; shutting log-core down
[14:56:44] [INFO] received Windows console close event; shutting log-core down
[14:57:12] [INFO] received Windows console close event; shutting log-core down
[14:58:23] [INFO] received Windows console close event; shutting log-core down
[15:00:20] [INFO] received Windows console close event; shutting log-core down
[15:02:26] [INFO] received Windows console close event; shutting log-core down
[15:38:56] [INFO] received Windows console close event; shutting log-core down
[15:41:35] [INFO] received Windows console close event; shutting log-core down
[15:46:31] [INFO] received Windows console close event; shutting log-core down
[15:46:58] [INFO] received Windows console close event; shutting log-core down
[15:47:21] [INFO] received Windows console close event; shutting log-core down
[15:48:02] [INFO] received Windows console close event; shutting log-core down
[15:48:44] [INFO] received Windows console close event; shutting log-core down
[15:49:11] [INFO] received Windows console close event; shutting log-core down
[15:52:34] [INFO] received Windows console close event; shutting log-core down
[15:52:41] [INFO] received Windows console close event; shutting log-core down
[15:52:47] [INFO] received Windows console close event; shutting log-core down
[15:53:42] [INFO] received Windows console close event; shutting log-core down
[15:55:57] [INFO] received Windows console close event; shutting log-core down
[15:56:59] [INFO] received Windows console close event; shutting log-core down
[15:58:18] [INFO] received Windows console close event; shutting log-core down
[16:13:00] [INFO] received Windows console close event; shutting log-core down
[16:13:52] [INFO] received Windows console close event; shutting log-core down
[16:16:49] [INFO] received Windows console close event; shutting log-core down
[16:20:04] [INFO] received Windows console close event; shutting log-core down
[16:21:31] [INFO] received Windows console close event; shutting log-core down
[16:27:37] [INFO] received Windows console close event; shutting log-core down
[16:29:34] [INFO] received Windows console close event; shutting log-core down
[16:32:11] [INFO] received Windows console close event; shutting log-core down
[16:37:11] [INFO] received Windows console close event; shutting log-core down
[11:33:54] [INFO] received Windows console close event; shutting log-core down
[11:44:47] [INFO] received Windows console close event; shutting log-core down
[11:58:27] [INFO] received Windows console close event; shutting log-core down
[12:09:42] [INFO] received Windows console close event; shutting log-core down
[12:15:14] [INFO] received Windows console close event; shutting log-core down
[23:25:13] [INFO] received Windows console close event; shutting log-core down
[16:40:44] [INFO] received Windows console close event; shutting log-core down
[16:44:29] [INFO] received Windows console close event; shutting log-core down
[16:55:30] [INFO] received Windows console close event; shutting log-core down
[17:18:27] [INFO] received Windows console close event; shutting log-core down
[10:14:28] [INFO] received Windows console close event; shutting log-core down
[11:09:24] [INFO] received Windows console close event; shutting log-core down
[11:13:35] [INFO] received Windows console close event; shutting log-core down
[11:23:33] [INFO] received Windows console close event; shutting log-core down
[11:28:21] [INFO] received Windows console close event; shutting log-core down
[11:28:52] [INFO] received Windows console close event; shutting log-core down
[11:29:02] [INFO] received Windows console close event; shutting log-core down
[11:37:13] [INFO] received Windows console close event; shutting log-core down
[14:02:20] [INFO] received Windows console close event; shutting log-core down
[14:11:16] [INFO] received Windows console close event; shutting log-core down
[14:12:56] [INFO] received Windows console close event; shutting log-core down
